"행정구역","2024년06월_계_총인구수","2024년06월_계_연령구간인구수","2024년06월_계_0세"
"대구광역시 수성구 범어3동(2726053000)","17,470","102","102"
"대구광역시 수성구 범어4동(2726054000)","19,092","20","20"
"대구광역시 수성구 만촌1동(2726055000)","20,952","56","56"
"대구광역시 수성구 만촌2동(2726056000)","10,023","17","17"
"대구광역시 수성구 만촌3동(2726056100)","20,964","47","47"
"대구광역시 수성구 수성1가동(2726057000)","17,091","44","44"
"대구광역시 수성구 수성2.3가동(2726058000)","10,671","16","16"
"대구광역시 수성구 수성4가동(2726059000)","13,253","29","29"
"대구광역시 수성구 황금1동(2726060100)","22,050","47","47"
"대구광역시 수성구 황금2동(2726060200)","11,425","54","54"
"대구광역시 수성구 중동(2726061000)","14,256","84","84"
"대구광역시 수성구 상동(2726062000)","14,695","35","35"
"대구광역시 수성구 파동(2726063000)","15,106","84","84"
"대구광역시 수성구 두산동(2726064000)","14,278","53","53"
"대구광역시 수성구 지산1동(2726065100)","19,620","37","37"
"대구광역시 수성구 지산2동(2726065200)","18,844","54","54"
"대구광역시 수성구 범물1동(2726066100)","10,241","17","17"
"대구광역시 수성구 범물2동(2726066200)","16,036","45","45"
"대구광역시 수성구 고산1동(2726067000)","31,136","92","92"
"대구광역시 수성구 고산2동(2726068000)","26,529","107","107"
"대구광역시 수성구 고산3동(2726069000)","30,335","66","66"
"대구광역시 달서구 (2729000000)","524,284","1,911","1,911"
"대구광역시 달서구 성당동(2729051500)","21,461","59","59"
"대구광역시 달서구 두류1.2동(2729053500)","14,561","57","57"
"대구광역시 달서구 두류3동(2729055000)","8,573","19","19"
"대구광역시 달서구 감삼동(2729055500)","29,809","168","168"
"대구광역시 달서구 죽전동(2729056300)","14,345","71","71"
"대구광역시 달서구 장기동(2729056800)","15,736","50","50"
"대구광역시 달서구 용산1동(2729057100)","29,152","83","83"
"대구광역시 달서구 용산2동(2729057200)","26,154","68","68"
"대구광역시 달서구 이곡1동(2729057600)","20,951","57","57"
"대구광역시 달서구 이곡2동(2729057700)","15,013","39","39"
"대구광역시 달서구 신당동(2729058500)","29,178","81","81"
"대구광역시 달서구 본리동(2729059000)","19,979","105","105"
"대구광역시 달서구 월성1동(2729060100)","40,326","164","164"
"대구광역시 달서구 월성2동(2729060200)","14,312","18","18"
"대구광역시 달서구 진천동(2729061500)","49,645","230","230"
"대구광역시 달서구 유천동(2729061700)","33,451","220","220"
"대구광역시 달서구 상인1동(2729062400)","33,614","126","126"
"대구광역시 달서구 상인2동(2729062500)","17,968","73","73"
"대구광역시 달서구 상인3동(2729062600)","10,090","9","9"
"대구광역시 달서구 도원동(2729062800)","32,679","74","74"
"대구광역시 달서구 송현1동(2729063000)","17,031","31","31"
"대구광역시 달서구 송현2동(2729064000)","18,198","62","62"
"대구광역시 달서구 본동(2729065000)","12,058","47","47"
"대구광역시 달성군 (2771000000)","259,280","1,565","1,565"
"대구광역시 달성군 화원읍(2771025000)","46,008","171","171"
"대구광역시 달성군 논공읍(2771025300)","4,417","27","27"
"대구광역시 달성군 논공읍공단출장소(2771025400)","11,567","36","36"
"대구광역시 달성군 다사읍(2771025600)","52,566","320","320"
"대구광역시 달성군 다사읍서재출장소(2771025700)","38,672","336","336"
"대구광역시 달성군 유가읍(2771025900)","31,162","224","224"
"대구광역시 달성군 옥포읍(2771026200)","23,488","131","131"
"대구광역시 달성군 현풍읍(2771026500)","21,851","110","110"
"대구광역시 달성군 가창면(2771031000)","7,140","6","6"
"대구광역시 달성군 하빈면(2771033000)","3,321","1","1"
"대구광역시 달성군 구지면(2771038000)","19,088","203","203"
"대구광역시 군위군 (2772000000)","22,707","44","44"
"대구광역시 군위군 군위읍(2772025000)","7,952","17","17"
"대구광역시 군위군 소보면(2772031000)","2,293","2","2"
"대구광역시 군위군 효령면(2772032000)","3,691","6","6"
"대구광역시 군위군 부계면(2772033000)","2,085","7","7"
"대구광역시 군위군 우보면(2772034000)","1,926","6","6"
"대구광역시 군위군 의흥면(2772035000)","2,263","4","4"
"대구광역시 군위군 산성면(2772036000)","1,197","1","1"
"대구광역시 군위군 삼국유사면(2772037000)","1,300","1","1"
"인천광역시  (2800000000)","3,011,073","13,954","13,954"
"인천광역시 중구 (2811000000)","164,129","976","976"
"인천광역시 중구 연안동(2811052000)","5,255","9","9"
"인천광역시 중구 신포동(2811053000)","4,610","5","5"
"인천광역시 중구 신흥동(2811054000)","14,131","66","66"
"인천광역시 중구 도원동(2811056000)","3,606","3","3"
"인천광역시 중구 율목동(2811057000)","2,895","1","1"
"인천광역시 중구 동인천동(2811058500)","5,310","10","10"
"인천광역시 중구 개항동(2811061500)","6,832","18","18"
"인천광역시 중구 영종동(2811062000)","21,786","128","128"
"인천광역시 중구 영종1동(2811062200)","33,146","313","313"
"인천광역시 중구 영종2동(2811062300)","24,592","257","257"
"인천광역시 중구 운서동(2811062800)","38,410","165","165"
"인천광역시 중구 용유동(2811063000)","3,556","1","1"
"인천광역시 중구영종출장소 (2811400000)","0","0","0"
"인천광역시 중구용유출장소 (2811800000)","0","0","0"
"인천광역시 동구 (2814000000)","58,761","195","195"
"인천광역시 동구 만석동(2814051000)","6,322","14","14"
"인천광역시 동구 화수1.화평동(2814052500)","5,456","4","4"
"인천광역시 동구 화수2동(2814053000)","6,945","6","6"
"인천광역시 동구 송현1.2동(2814055500)","9,805","31","31"
"인천광역시 동구 송현3동(2814057000)","2,821","2","2"
"인천광역시 동구 송림1동(2814058000)","6,571","68","68"
"인천광역시 동구 송림2동(2814059000)","1,318","0","0"
"인천광역시 동구 송림3.5동(2814060500)","5,523","11","11"
"인천광역시 동구 송림4동(2814061000)","6,039","46","46"
"인천광역시 동구 송림6동(2814063000)","5,716","13","13"
"인천광역시 동구 금창동(2814064000)","2,245","0","0"
"인천광역시 미추홀구 (2817700000)","409,263","1,812","1,812"
"인천광역시 미추홀구 숭의2동(2817751000)","13,532","46","46"
"인천광역시 미추홀구 숭의1.3동(2817752000)","15,576","86","86"
"인천광역시 미추홀구 숭의4동(2817753000)","14,682","43","43"
"인천광역시 미추홀구 용현1.4동(2817754000)","17,229","32","32"
"인천광역시 미추홀구 용현2동(2817755000)","22,514","194","194"
"인천광역시 미추홀구 용현3동(2817756000)","7,031","23","23"
"인천광역시 미추홀구 용현5동(2817757000)","45,268","163","163"
"인천광역시 미추홀구 학익1동(2817758000)","31,996","126","126"
"인천광역시 미추홀구 학익2동(2817759000)","17,478","49","49"
"인천광역시 미추홀구 도화1동(2817760000)","20,911","116","116"
"인천광역시 미추홀구 도화2.3동(2817761000)","31,040","169","169"
"인천광역시 미추홀구 주안1동(2817762000)","19,790","82","82"
"인천광역시 미추홀구 주안2동(2817763000)","21,796","125","125"
"인천광역시 미추홀구 주안3동(2817764000)","12,322","83","83"
"인천광역시 미추홀구 주안4동(2817765000)","18,447","147","147"
"인천광역시 미추홀구 주안5동(2817766000)","19,603","90","90"
"인천광역시 미추홀구 주안6동(2817767000)","20,818","93","93"
"인천광역시 미추홀구 주안7동(2817768000)","12,118","31","31"
"인천광역시 미추홀구 주안8동(2817769000)","19,173","42","42"
"인천광역시 미추홀구 관교동(2817770000)","14,078","39","39"
"인천광역시 미추홀구 문학동(2817771000)","13,861","33","33"
"인천광역시 연수구 (2818500000)","395,060","2,000","2,000"
"인천광역시 연수구 옥련1동(2818563000)","17,449","39","39"
"인천광역시 연수구 옥련2동(2818564000)","19,358","75","75"
"인천광역시 연수구 선학동(2818575000)","17,820","76","76"
"인천광역시 연수구 연수1동(2818576100)","16,925","29","29"
"인천광역시 연수구 연수2동(2818576200)","19,645","76","76"
"인천광역시 연수구 연수3동(2818576300)","14,843","49","49"
"인천광역시 연수구 청학동(2818576600)","22,691","54","54"
"인천광역시 연수구 동춘1동(2818578000)","25,714","154","154"
"인천광역시 연수구 동춘2동(2818579000)","17,160","81","81"
"인천광역시 연수구 동춘3동(2818579500)","17,785","39","39"
"인천광역시 연수구 송도1동(2818582000)","37,849","111","111"
"인천광역시 연수구 송도2동(2818583000)","36,743","122","122"
"인천광역시 연수구 송도3동(2818584000)","48,592","381","381"
"인천광역시 연수구 송도4동(2818585000)","36,053","238","238"
"인천광역시 연수구 송도5동(2818586000)","46,433","476","476"
"인천광역시 남동구 (2820000000)","488,436","1,638","1,638"
"인천광역시 남동구 구월1동(2820051000)","31,094","112","112"
"인천광역시 남동구 구월2동(2820052000)","36,869","185","185"
"인천광역시 남동구 구월3동(2820052100)","28,569","95","95"
"인천광역시 남동구 구월4동(2820052200)","13,267","21","21"
"인천광역시 남동구 간석1동(2820053000)","16,732","51","51"
"인천광역시 남동구 간석2동(2820054000)","20,545","64","64"
"인천광역시 남동구 간석3동(2820055000)","25,523","81","81"
"인천광역시 남동구 간석4동(2820055100)","27,935","92","92"
"인천광역시 남동구 만수1동(2820056000)","15,708","46","46"
"인천광역시 남동구 만수2동(2820057000)","22,698","58","58"
"인천광역시 남동구 만수3동(2820058000)","16,307","48","48"
"인천광역시 남동구 만수4동(2820058100)","18,930","63","63"
"인천광역시 남동구 만수5동(2820058200)","14,392","32","32"
"인천광역시 남동구 만수6동(2820058300)","22,380","43","43"
"인천광역시 남동구 장수서창동(2820065000)","18,623","52","52"
"인천광역시 남동구 서창2동(2820065500)","37,677","194","194"
"인천광역시 남동구 남촌도림동(2820066000)","19,600","39","39"
"인천광역시 남동구 논현1동(2820069000)","30,820","117","117"
"인천광역시 남동구 논현2동(2820070000)","31,100","97","97"
"인천광역시 남동구 논현고잔동(2820071000)","39,667","148","148"
"인천광역시 부평구 (2823700000)","494,221","2,310","2,310"
"인천광역시 부평구 부평1동(2823751000)","34,980","129","129"
"인천광역시 부평구 부평2동(2823752000)","14,436","48","48"
"인천광역시 부평구 부평3동(2823753000)","15,026","116","116"
"인천광역시 부평구 부평4동(2823754000)","34,056","115","115"
"인천광역시 부평구 부평5동(2823755000)","33,370","165","165"
"인천광역시 부평구 부평6동(2823756000)","14,535","71","71"
"인천광역시 부평구 산곡1동(2823757000)","14,793","116","116"
"인천광역시 부평구 산곡2동(2823758000)","29,441","96","96"
"인천광역시 부평구 산곡3동(2823758100)","20,370","39","39"
"인천광역시 부평구 산곡4동(2823758200)","16,560","62","62"
"인천광역시 부평구 청천1동(2823759100)","21,954","293","293"
"인천광역시 부평구 청천2동(2823759200)","33,060","183","183"
"인천광역시 부평구 갈산1동(2823764100)","14,550","38","38"
"인천광역시 부평구 갈산2동(2823764200)","17,478","48","48"
"인천광역시 부평구 삼산1동(2823764600)","32,367","117","117"
"인천광역시 부평구 삼산2동(2823764800)","27,453","78","78"
"인천광역시 부평구 부개1동(2823765000)","15,534","49","49"
"인천광역시 부평구 부개2동(2823766000)","18,969","91","91"
"인천광역시 부평구 부개3동(2823766100)","28,334","89","89"
"인천광역시 부평구 일신동(2823767000)","11,596","62","62"
"인천광역시 부평구 십정1동(2823768000)","24,480","250","250"
"인천광역시 부평구 십정2동(2823769000)","20,879","55","55"
"인천광역시 계양구 (2824500000)","281,308","917","917"
"인천광역시 계양구 효성1동(2824560100)","26,302","121","121"
"인천광역시 계양구 효성2동(2824560200)","26,782","79","79"
"인천광역시 계양구 계산1동(2824561100)","17,605","37","37"
"인천광역시 계양구 계산2동(2824561200)","14,356","34","34"
"인천광역시 계양구 계산3동(2824561300)","17,559","46","46"
"인천광역시 계양구 계산4동(2824561400)","22,387","45","45"
"인천광역시 계양구 작전1동(2824562100)","25,886","67","67"
"인천광역시 계양구 작전2동(2824562200)","23,413","104","104"
"인천광역시 계양구 작전서운동(2824564000)","32,755","133","133"
"인천광역시 계양구 계양1동(2824571000)","18,982","66","66"
"인천광역시 계양구 계양2동(2824572000)","31,616","98","98"
"인천광역시 계양구 계양3동(2824573000)","23,665","87","87"
"인천광역시 서구 (2826000000)","630,949","3,853","3,853"
"인천광역시 서구 검암경서동(2826051500)","54,330","411","411"
"인천광역시 서구 연희동(2826053000)","37,377","122","122"
"인천광역시 서구 청라1동(2826053600)","30,374","195","195"
"인천광역시 서구 청라2동(2826053700)","47,759","234","234"
"인천광역시 서구 청라3동(2826053900)","35,934","263","263"
"인천광역시 서구 가정1동(2826054200)","41,586","344","344"
"인천광역시 서구 가정2동(2826054300)","17,161","188","188"
"인천광역시 서구 가정3동(2826054400)","8,761","23","23"
"인천광역시 서구 석남1동(2826055000)","20,255","42","42"
"인천광역시 서구 석남2동(2826056000)","11,906","31","31"
"인천광역시 서구 석남3동(2826056100)","12,419","25","25"
"인천광역시 서구 신현원창동(2826057500)","29,421","111","111"
"인천광역시 서구 가좌1동(2826058000)","12,464","65","65"
"인천광역시 서구 가좌2동(2826059000)","18,408","70","70"
"인천광역시 서구 가좌3동(2826060000)","15,362","37","37"
"인천광역시 서구 가좌4동(2826061000)","11,996","84","84"
"인천광역시 서구 검단동(2826068000)","32,414","135","135"
"인천광역시 서구 불로대곡동(2826069000)","23,089","79","79"
"인천광역시 서구 원당동(2826070000)","24,676","177","177"
"인천광역시 서구 당하동(2826071000)","28,799","133","133"
"인천광역시 서구 오류왕길동(2826072000)","24,094","99","99"
"인천광역시 서구 마전동(2826073000)","21,448","82","82"
"인천광역시 서구 아라동(2826074000)","70,916","903","903"
"인천광역시 서구검단출장소 (2826500000)","0","0","0"
"인천광역시 강화군 (2871000000)","68,772","205","205"
"인천광역시 강화군 강화읍(2871025000)","22,236","81","81"
"인천광역시 강화군 선원면(2871031000)","7,949","26","26"
"인천광역시 강화군 불은면(2871032000)","5,027","16","16"
"인천광역시 강화군 길상면(2871033000)","7,202","20","20"
"인천광역시 강화군 화도면(2871034000)","4,587","18","18"
"인천광역시 강화군 양도면(2871035000)","4,223","8","8"
"인천광역시 강화군 내가면(2871036000)","2,993","6","6"
"인천광역시 강화군 하점면(2871037000)","3,978","10","10"
"인천광역시 강화군 양사면(2871038000)","1,905","4","4"
"인천광역시 강화군 송해면(2871039000)","3,212","8","8"
"인천광역시 강화군 교동면(2871040000)","2,740","4","4"
"인천광역시 강화군 삼산면(2871041000)","2,076","3","3"
"인천광역시 강화군 서도면(2871042000)","371","0","0"
"인천광역시 강화군 서도면볼음출장소(2871042500)","273","1","1"
"인천광역시 옹진군 (2872000000)","20,174","48","48"
"인천광역시 옹진군 북도면(2872031000)","1,159","1","1"
"인천광역시 옹진군 북도면장봉출장소(2872031500)","963","2","2"
"인천광역시 옹진군 백령면(2872033000)","4,791","16","16"
"인천광역시 옹진군 대청면(2872034000)","1,209","1","1"
"인천광역시 옹진군 대청면소청출장소(2872034500)","229","0","0"
"인천광역시 옹진군 덕적면(2872035000)","1,935","1","1"
"인천광역시 옹진군 영흥면(2872036000)","6,544","8","8"
"인천광역시 옹진군 자월면(2872037000)","961","2","2"
"인천광역시 옹진군 자월면이작출장소(2872037500)","373","0","0"
"인천광역시 옹진군 연평면(2872038000)","2,010","17","17"
"광주광역시  (2900000000)","1,413,606","5,742","5,742"
"광주광역시 동구 (2911000000)","106,462","528","528"
"광주광역시 동구 충장동(2911052500)","5,427","8","8"
"광주광역시 동구 동명동(2911054500)","3,566","2","2"
"광주광역시 동구 계림1동(2911056000)","10,108","97","97"
"광주광역시 동구 계림2동(2911057000)","13,383","125","125"
"광주광역시 동구 산수1동(2911059000)","7,896","29","29"
"광주광역시 동구 산수2동(2911060000)","9,673","32","32"
"광주광역시 동구 지산1동(2911062000)","4,049","7","7"
"광주광역시 동구 지산2동(2911063000)","4,179","1","1"
"광주광역시 동구 서남동(2911065500)","3,002","0","0"
"광주광역시 동구 학동(2911068500)","7,142","39","39"
"광주광역시 동구 학운동(2911071000)","10,817","12","12"
"광주광역시 동구 지원1동(2911073000)","9,044","49","49"
"광주광역시 동구 지원2동(2911074000)","18,176","127","127"
"광주광역시 서구 (2914000000)","281,113","975","975"
"광주광역시 서구 양동(2914057500)","2,982","3","3"
"광주광역시 서구 양3동(2914059000)","4,222","8","8"
"광주광역시 서구 농성1동(2914065000)","11,589","54","54"
"광주광역시 서구 농성2동(2914066000)","4,445","5","5"
"광주광역시 서구 광천동(2914073000)","5,676","26","26"
"광주광역시 서구 유덕동(2914074000)","10,333","43","43"
"광주광역시 서구 치평동(2914074500)","29,172","118","118"
"광주광역시 서구 상무1동(2914075100)","23,924","73","73"
"광주광역시 서구 상무2동(2914075200)","22,392","34","34"
"광주광역시 서구 화정1동(2914076000)","15,498","48","48"
"광주광역시 서구 화정2동(2914077000)","19,570","93","93"
"광주광역시 서구 화정3동(2914078000)","9,068","18","18"
"광주광역시 서구 화정4동(2914079000)","19,466","117","117"
"광주광역시 서구 서창동(2914080000)","6,867","28","28"
"광주광역시 서구 금호1동(2914082100)","19,256","45","45"
"광주광역시 서구 금호2동(2914082400)","26,874","97","97"
"광주광역시 서구 풍암동(2914083000)","34,431","119","119"
"광주광역시 서구 동천동(2914084000)","15,348","46","46"
"광주광역시 남구 (2915500000)","208,095","693","693"
"광주광역시 남구 양림동(2915551000)","6,502","10","10"
"광주광역시 남구 방림1동(2915552000)","6,647","25","25"
"광주광역시 남구 방림2동(2915553000)","9,000","38","38"
"광주광역시 남구 봉선1동(2915553700)","12,607","26","26"
"광주광역시 남구 봉선2동(2915553800)","27,613","57","57"
"광주광역시 남구 사직동(2915554500)","4,634","13","13"
"광주광역시 남구 월산동(2915560500)","8,463","38","38"
"광주광역시 남구 월산4동(2915563000)","7,979","9","9"
"광주광역시 남구 월산5동(2915564000)","5,813","6","6"
"광주광역시 남구 백운1동(2915567000)","11,556","29","29"
"광주광역시 남구 백운2동(2915568000)","6,779","28","28"
"광주광역시 남구 주월1동(2915569000)","20,953","77","77"
"광주광역시 남구 주월2동(2915570000)","7,407","8","8"
"광주광역시 남구 진월동(2915570500)","27,822","69","69"
"광주광역시 남구 효덕동(2915571000)","15,162","56","56"
"광주광역시 남구 송암동(2915572000)","21,012","136","136"
"광주광역시 남구 대촌동(2915573000)","8,146","68","68"
"광주광역시 북구 (2917000000)","423,982","1,758","1,758"
"광주광역시 북구 중흥1동(2917051000)","4,403","22","22"
"광주광역시 북구 중흥동(2917053500)","15,128","56","56"
"광주광역시 북구 중앙동(2917055500)","3,711","17","17"
"광주광역시 북구 임동(2917057000)","13,585","127","127"
"광주광역시 북구 신안동(2917058000)","12,186","61","61"
"광주광역시 북구 용봉동(2917059000)","36,810","126","126"
"광주광역시 북구 운암1동(2917060100)","18,336","58","58"
"광주광역시 북구 운암2동(2917060200)","11,077","17","17"
"광주광역시 북구 운암3동(2917060300)","13,175","56","56"
"광주광역시 북구 동림동(2917061500)","22,495","128","128"
"광주광역시 북구 우산동(2917062000)","15,666","90","90"
"광주광역시 북구 풍향동(2917063500)","5,171","17","17"
"광주광역시 북구 문화동(2917065000)","22,920","173","173"
"광주광역시 북구 문흥1동(2917065600)","15,326","31","31"
"광주광역시 북구 문흥2동(2917065700)","14,559","47","47"
"광주광역시 북구 두암1동(2917066100)","7,097","11","11"
"광주광역시 북구 두암2동(2917066200)","14,803","26","26"
"광주광역시 북구 두암3동(2917066300)","12,163","15","15"
"광주광역시 북구 삼각동(2917066600)","13,185","51","51"
"광주광역시 북구 일곡동(2917066900)","27,838","69","69"
"광주광역시 북구 매곡동(2917067300)","13,111","40","40"
"광주광역시 북구 오치1동(2917067600)","10,084","24","24"
"광주광역시 북구 오치2동(2917067700)","11,431","23","23"
"광주광역시 북구 석곡동(2917068500)","2,292","2","2"
"광주광역시 북구 건국동(2917069500)","21,424","137","137"
"광주광역시 북구 양산동(2917069600)","35,314","153","153"
"광주광역시 북구 신용동(2917069700)","30,692","181","181"
"광주광역시 광산구 (2920000000)","393,954","1,788","1,788"
"광주광역시 광산구 송정1동(2920051500)","10,258","25","25"
"광주광역시 광산구 송정2동(2920052500)","6,141","38","38"
"광주광역시 광산구 도산동(2920054000)","14,427","76","76"
"광주광역시 광산구 신흥동(2920055000)","4,224","14","14"
"광주광역시 광산구 어룡동(2920056500)","33,390","189","189"
"광주광역시 광산구 우산동(2920058000)","28,651","232","232"
"광주광역시 광산구 월곡1동(2920060000)","9,718","33","33"
"광주광역시 광산구 월곡2동(2920061000)","14,705","57","57"
"광주광역시 광산구 비아동(2920062000)","7,292","21","21"
"광주광역시 광산구 첨단1동(2920062400)","27,732","124","124"
"광주광역시 광산구 첨단2동(2920062600)","41,516","177","177"
"광주광역시 광산구 신가동(2920063000)","18,913","80","80"
"광주광역시 광산구 운남동(2920063500)","29,099","126","126"
"광주광역시 광산구 수완동(2920063700)","74,403","248","248"
"광주광역시 광산구 하남동(2920064000)","26,987","143","143"
"광주광역시 광산구 임곡동(2920065000)","1,966","3","3"
"광주광역시 광산구 동곡동(2920066000)","1,666","3","3"
"광주광역시 광산구 평동(2920067000)","5,047","31","31"
"광주광역시 광산구 삼도동(2920068000)","2,135","1","1"
"광주광역시 광산구 본량동(2920069000)","1,858","3","3"
"광주광역시 광산구 신창동(2920070000)","33,826","164","164"
"대전광역시  (3000000000)","1,440,558","6,863","6,863"
"대전광역시 동구 (3011000000)","215,936","922","922"
"대전광역시 동구 중앙동(3011051500)","3,697","3","3"
"대전광역시 동구 효동(3011053000)","22,542","97","97"
"대전광역시 동구 신인동(3011054500)","15,137","137","137"
"대전광역시 동구 판암1동(3011055100)","12,045","65","65"
"대전광역시 동구 판암2동(3011055200)","7,927","6","6"
"대전광역시 동구 용운동(3011056000)","21,353","138","138"
"대전광역시 동구 대동(3011058500)","13,920","80","80"
"대전광역시 동구 자양동(3011059000)","10,885","21","21"
"대전광역시 동구 가양1동(3011062000)","12,809","33","33"
"대전광역시 동구 가양2동(3011063000)","18,817","73","73"
"대전광역시 동구 용전동(3011064000)","20,151","66","66"
"대전광역시 동구 성남동(3011066500)","10,875","53","53"
"대전광역시 동구 홍도동(3011067000)","11,153","48","48"
"대전광역시 동구 삼성동(3011069500)","12,963","36","36"
"대전광역시 동구 대청동(3011072500)","2,215","1","1"
"대전광역시 동구 산내동(3011074000)","19,447","65","65"
"대전광역시 중구 (3014000000)","223,304","801","801"
"대전광역시 중구 은행선화동(3014053500)","15,755","64","64"
"대전광역시 중구 목동(3014055000)","17,605","101","101"
"대전광역시 중구 중촌동(3014056000)","13,590","92","92"
"대전광역시 중구 대흥동(3014057500)","13,011","56","56"
"대전광역시 중구 문창동(3014060500)","4,232","11","11"
"대전광역시 중구 석교동(3014062000)","14,638","41","41"
"대전광역시 중구 대사동(3014063000)","5,322","13","13"
"대전광역시 중구 부사동(3014064000)","6,314","8","8"
"대전광역시 중구 용두동(3014065500)","8,879","35","35"
"대전광역시 중구 오류동(3014067000)","10,216","44","44"
"대전광역시 중구 태평1동(3014068000)","12,660","47","47"
"대전광역시 중구 태평2동(3014069000)","24,267","70","70"
"대전광역시 중구 유천1동(3014070000)","5,848","17","17"
"대전광역시 중구 유천2동(3014071000)","13,051","40","40"
"대전광역시 중구 문화1동(3014072000)","20,683","69","69"
"대전광역시 중구 문화2동(3014073000)","11,611","28","28"
"대전광역시 중구 산성동(3014074000)","25,622","65","65"
"대전광역시 서구 (3017000000)","461,940","2,104","2,104"
"대전광역시 서구 복수동(3017051000)","21,632","90","90"
"대전광역시 서구 도마1동(3017052000)","18,883","136","136"
"대전광역시 서구 도마2동(3017053000)","16,390","54","54"
"대전광역시 서구 정림동(3017053500)","15,206","38","38"
"대전광역시 서구 변동(3017054000)","13,124","46","46"
"대전광역시 서구 용문동(3017055000)","11,783","38","38"
"대전광역시 서구 탄방동(3017055500)","26,571","104","104"
"대전광역시 서구 괴정동(3017056000)","18,674","69","69"
"대전광역시 서구 가장동(3017057000)","10,871","46","46"
"대전광역시 서구 내동(3017057500)","22,660","80","80"
"대전광역시 서구 갈마1동(3017058100)","21,076","76","76"
"대전광역시 서구 갈마2동(3017058200)","24,004","95","95"
"대전광역시 서구 월평1동(3017058600)","11,163","23","23"
"대전광역시 서구 월평2동(3017058700)","13,514","35","35"
"대전광역시 서구 월평3동(3017058800)","20,320","97","97"
"대전광역시 서구 가수원동(3017059000)","10,352","38","38"
"대전광역시 서구 도안동(3017059300)","36,499","283","283"
"대전광역시 서구 관저1동(3017059600)","14,870","83","83"
"대전광역시 서구 관저2동(3017059700)","48,349","297","297"
"대전광역시 서구 기성동(3017060000)","3,403","3","3"
"대전광역시 서구 둔산1동(3017063000)","16,370","18","18"
"대전광역시 서구 둔산2동(3017064000)","35,146","246","246"
"대전광역시 서구 만년동(3017065000)","12,148","73","73"
"대전광역시 서구 둔산3동(3017066000)","18,932","36","36"
"대전광역시 유성구 (3020000000)","369,288","2,346","2,346"
"대전광역시 유성구 진잠동(3020052000)","25,445","121","121"
"대전광역시 유성구 학하동(3020052600)","19,483","172","172"
"대전광역시 유성구 상대동(3020052700)","25,233","115","115"
"대전광역시 유성구 온천1동(3020053000)","26,651","104","104"
"대전광역시 유성구 온천2동(3020054000)","40,535","194","194"
"대전광역시 유성구 노은1동(3020054600)","21,024","155","155"
"대전광역시 유성구 노은2동(3020054700)","23,515","125","125"
"대전광역시 유성구 노은3동(3020054800)","36,435","253","253"
"대전광역시 유성구 신성동(3020055000)","25,611","200","200"
"대전광역시 유성구 전민동(3020057000)","25,945","162","162"
"대전광역시 유성구 구즉동(3020058000)","32,901","287","287"
"대전광역시 유성구 관평동(3020060000)","36,411","217","217"
"대전광역시 유성구 원신흥동(3020061000)","30,099","241","241"
"대전광역시 대덕구 (3023000000)","170,090","690","690"
"대전광역시 대덕구 오정동(3023051000)","13,824","37","37"
"대전광역시 대덕구 대화동(3023052000)","6,326","15","15"
"대전광역시 대덕구 회덕동(3023052500)","12,751","54","54"
"대전광역시 대덕구 비래동(3023053300)","15,161","49","49"
"대전광역시 대덕구 송촌동(3023054300)","25,850","89","89"
"대전광역시 대덕구 중리동(3023054600)","18,461","48","48"
"대전광역시 대덕구 신탄진동(3023055000)","15,584","106","106"
"대전광역시 대덕구 석봉동(3023056000)","16,064","99","99"
"대전광역시 대덕구 덕암동(3023057000)","12,790","45","45"
"대전광역시 대덕구 목상동(3023058000)","6,049","24","24"
"대전광역시 대덕구 법1동(3023060000)","12,310","78","78"
"대전광역시 대덕구 법2동(3023061000)","14,920","46","46"
"울산광역시  (3100000000)","1,100,304","4,876","4,876"
"울산광역시 중구 (3111000000)","207,693","764","764"
"울산광역시 중구 학성동(3111051000)","10,741","39","39"
"울산광역시 중구 반구1동(3111052000)","15,684","57","57"
"울산광역시 중구 반구2동(3111053000)","8,205","19","19"
"울산광역시 중구 복산동(3111055500)","20,774","185","185"
"울산광역시 중구 중앙동(3111058500)","11,371","15","15"
"울산광역시 중구 우정동(3111059000)","17,644","56","56"
"울산광역시 중구 태화동(3111060000)","31,468","129","129"
"울산광역시 중구 다운동(3111061000)","21,249","28","28"
"울산광역시 중구 병영1동(3111062000)","20,649","50","50"
"울산광역시 중구 병영2동(3111063000)","19,398","79","79"
"울산광역시 중구 약사동(3111064000)","10,484","65","65"
"울산광역시 중구 성안동(3111065000)","20,026","42","42"
"울산광역시 남구 (3114000000)","305,262","1,245","1,245"
"울산광역시 남구 신정1동(3114051000)","17,754","64","64"
"울산광역시 남구 신정2동(3114052000)","24,558","79","79"
"울산광역시 남구 신정3동(3114053000)","15,670","48","48"
"울산광역시 남구 신정4동(3114054000)","19,645","69","69"
"울산광역시 남구 신정5동(3114055000)","8,338","37","37"
"울산광역시 남구 달동(3114056000)","25,889","88","88"
"울산광역시 남구 삼산동(3114057000)","47,450","189","189"
"울산광역시 남구 삼호동(3114058500)","19,892","70","70"
"울산광역시 남구 무거동(3114059500)","31,032","78","78"
"울산광역시 남구 옥동(3114060000)","24,912","97","97"
"울산광역시 남구 대현동(3114062500)","32,377","247","247"
"울산광역시 남구 수암동(3114063500)","15,960","82","82"
"울산광역시 남구 선암동(3114064000)","13,373","58","58"
